,writer,book,birth,min_bookDate
72,http://dbpedia.org/resource/David_Hitt,http://dbpedia.org/resource/Bold_They_Rise,1975,2014
73,http://dbpedia.org/resource/David_Levien,http://dbpedia.org/resource/City_of_the_Sun_(Levien_novel),1967,2008
74,http://dbpedia.org/resource/David_McCullough,http://dbpedia.org/resource/Mornings_on_Horseback;http://dbpedia.org/resource/The_Path_Between_the_Seas;http://dbpedia.org/resource/The_Wright_Brothers_(book),1933,1977
75,http://dbpedia.org/resource/David_Sedaris,http://dbpedia.org/resource/Barrel_Fever;http://dbpedia.org/resource/Holidays_on_Ice;http://dbpedia.org/resource/Naked_(book),1956,1994
76,http://dbpedia.org/resource/Dennis_Lehane,http://dbpedia.org/resource/A_Drink_Before_the_War;http://dbpedia.org/resource/Prayers_for_Rain;http://dbpedia.org/resource/Coronado:_Stories;http://dbpedia.org/resource/Moonlight_Mile_(novel);http://dbpedia.org/resource/Mystic_River_(novel),1965,1994
77,http://dbpedia.org/resource/Don_Winslow,http://dbpedia.org/resource/The_Power_of_the_Dog;http://dbpedia.org/resource/Satori_(Winslow_novel),1953,2005
78,http://dbpedia.org/resource/Doreen_Cronin,"http://dbpedia.org/resource/Dooby_Dooby_Moo;http://dbpedia.org/resource/Duck_for_President;http://dbpedia.org/resource/Click,_Clack,_Moo",1966,2000
79,http://dbpedia.org/resource/Douglas_Preston,http://dbpedia.org/resource/Relic_(novel);http://dbpedia.org/resource/Reliquary_(novel),1956,1995
80,http://dbpedia.org/resource/John_W._Campbell,http://dbpedia.org/resource/From_Unknown_Worlds;http://dbpedia.org/resource/Who_Goes_There%3F_and_Other_Stories,1910,1948
81,http://dbpedia.org/resource/Robert_Antoni,http://dbpedia.org/resource/Blessed_Is_the_Fruit;http://dbpedia.org/resource/Divina_Trace,1951,1991
82,http://dbpedia.org/resource/Tucker_Max,http://dbpedia.org/resource/I_Hope_They_Serve_Beer_in_Hell,1975,2006
83,http://dbpedia.org/resource/Robert_Westall,http://dbpedia.org/resource/Fathom_Five_(novel),1929,1990
84,http://dbpedia.org/resource/Mary_Stewart_(novelist),http://dbpedia.org/resource/The_Crystal_Cave;http://dbpedia.org/resource/The_Hollow_Hills;http://dbpedia.org/resource/The_Last_Enchantment;http://dbpedia.org/resource/The_Prince_and_the_Pilgrim;http://dbpedia.org/resource/The_Wicked_Day;http://dbpedia.org/resource/Thornyhold;http://dbpedia.org/resource/Touch_Not_the_Cat,1916,1970
85,http://dbpedia.org/resource/E._M._Forster,http://dbpedia.org/resource/A_Room_with_a_View;http://dbpedia.org/resource/Howards_End;http://dbpedia.org/resource/The_Celestial_Omnibus;http://dbpedia.org/resource/The_Eternal_Moment;http://dbpedia.org/resource/Where_Angels_Fear_to_Tread;http://dbpedia.org/resource/The_Longest_Journey_(novel),1879,1905
